hxr,sxr,tval
2.92e-08,8.22e-07,2005-09-07 17:00:00
3.45e-08,8.45e-07,2005-09-07 17:01:00
3.39e-08,8.41e-07,2005-09-07 17:02:00
3.26e-08,8.32e-07,2005-09-07 17:03:00
3.3e-08,8.32e-07,2005-09-07 17:04:00
3.07e-08,8.15e-07,2005-09-07 17:05:00
2.72e-08,7.91e-07,2005-09-07 17:06:00
2.48e-08,7.67e-07,2005-09-07 17:07:00
2.35e-08,7.53e-07,2005-09-07 17:08:00
2.25e-08,7.4e-07,2005-09-07 17:09:00
2.05e-08,7.18e-07,2005-09-07 17:10:00
1.89e-08,6.97e-07,2005-09-07 17:11:00
1.96e-08,6.9e-07,2005-09-07 17:12:00
2.64e-08,7.11e-07,2005-09-07 17:13:00
2.88e-08,7.38e-07,2005-09-07 17:14:00
2.98e-08,7.53e-07,2005-09-07 17:15:00
3.06e-08,7.66e-07,2005-09-07 17:16:00
3.22e-08,7.8e-07,2005-09-07 17:17:00
3.27e-08,7.93e-07,2005-09-07 17:18:00
6.15e-08,9.2e-07,2005-09-07 17:19:00
9.42e-08,1.09e-06,2005-09-07 17:20:00
1.18e-07,1.23e-06,2005-09-07 17:21:00
2.23e-07,1.64e-06,2005-09-07 17:22:00
3.64e-07,2.22e-06,2005-09-07 17:23:00
2.98e-06,8.43e-06,2005-09-07 17:24:00
1.77e-05,4.2e-05,2005-09-07 17:25:00
4.38e-05,0.000102,2005-09-07 17:26:00
5.13e-05,0.000132,2005-09-07 17:27:00
5.45e-05,0.000149,2005-09-07 17:28:00
6.49e-05,0.000179,2005-09-07 17:29:00
8.67e-05,0.00023,2005-09-07 17:30:00
0.000119,0.000306,2005-09-07 17:31:00
0.00017,0.00042,2005-09-07 17:32:00
0.000222,0.000532,2005-09-07 17:33:00
0.000283,0.000665,2005-09-07 17:34:00
0.000358,0.000826,2005-09-07 17:35:00
0.000469,0.0011,2005-09-07 17:36:00
0.000488,0.00144,2005-09-07 17:37:00
0.000488,0.00163,2005-09-07 17:38:00
0.000488,0.0017,2005-09-07 17:39:00
0.000488,0.00171,2005-09-07 17:40:00
0.000488,0.00168,2005-09-07 17:41:00
0.000488,0.00166,2005-09-07 17:42:00
0.000488,0.00163,2005-09-07 17:43:00
0.000488,0.00161,2005-09-07 17:44:00
0.000488,0.00161,2005-09-07 17:45:00
0.000488,0.00161,2005-09-07 17:46:00
0.000488,0.0016,2005-09-07 17:47:00
0.000488,0.00159,2005-09-07 17:48:00
0.000488,0.00157,2005-09-07 17:49:00
0.000488,0.00154,2005-09-07 17:50:00
0.000484,0.0015,2005-09-07 17:51:00
0.000468,0.00147,2005-09-07 17:52:00
0.000442,0.00141,2005-09-07 17:53:00
0.000419,0.00136,2005-09-07 17:54:00
0.000392,0.00129,2005-09-07 17:55:00
0.000368,0.00123,2005-09-07 17:56:00
0.000341,0.00116,2005-09-07 17:57:00
0.000317,0.0011,2005-09-07 17:58:00
0.000295,0.00105,2005-09-07 17:59:00
0.000273,0.000993,2005-09-07 18:00:00
